sep=,
DeviceTag:,2
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_088 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
236,2272922408,-122.623398,-71.183128,40.142975,-1.238682,-1.328140,1.255190,0
237,2272939075,-120.928078,-69.000763,38.632698,-0.838567,-1.055950,1.019156,0
238,2272955742,-119.530769,-66.734695,37.334312,-0.389057,-0.590080,0.828099,0
239,2272972409,-118.381950,-64.410828,36.232552,-0.116419,-0.271680,0.756482,0
240,2272989076,-117.399208,-62.049202,35.314289,0.266047,0.196782,0.586513,0
241,2273005743,-116.602531,-59.679802,34.570641,0.793340,0.652578,0.269865,0
242,2273022410,-116.052170,-57.331230,34.000725,1.050183,0.769576,0.314125,0
243,2273039077,-115.594543,-54.995308,33.525295,0.658107,0.619497,0.573025,0
244,2273055744,-115.036453,-52.641315,33.154533,0.590869,0.732714,0.379676,0
245,2273072411,-114.547928,-50.298580,32.903267,1.174972,1.256836,0.235288,0
246,2273089078,-114.208595,-47.989902,32.740063,1.341316,1.341697,0.273062,0
247,2273105745,-113.861603,-45.714863,32.651489,1.385630,1.337327,0.281348,0
248,2273122412,-113.533325,-43.515007,32.605263,1.729684,1.784994,-0.111100,0
249,2273139079,-113.302406,-41.362858,32.551266,1.465544,1.835356,0.030987,0
250,2273155746,-113.152794,-39.261135,32.467182,1.167923,1.975434,0.370586,0
251,2273172413,-112.955139,-37.234730,32.324173,0.917321,2.113273,0.670013,0
252,2273189080,-112.598473,-35.333984,32.138809,1.312572,2.546486,0.156506,0
253,2273205747,-112.236008,-33.606262,31.915842,1.923385,2.864095,-0.120147,0
254,2273222414,-111.910881,-32.061111,31.680836,1.604443,2.330570,0.283233,0
255,2273239081,-111.408112,-30.678595,31.463020,1.197039,1.774043,0.349599,0
256,2273255748,-110.821747,-29.430428,31.270662,1.080703,1.522969,-0.101418,0
257,2273272415,-110.189362,-28.260746,31.090643,0.520552,1.018093,-0.083824,0
258,2273289082,-109.436394,-27.100990,30.909342,0.523247,0.893419,-0.485956,0
259,2273305749,-108.794121,-25.933659,30.716778,0.704123,0.821790,-0.375156,0
260,2273322416,-108.272110,-24.784275,30.509827,0.617441,0.699089,-0.240107,0
261,2273339083,-107.806099,-23.657104,30.324141,0.732654,0.582278,-0.074761,0
262,2273355750,-107.355316,-22.574329,30.159029,0.745208,0.498537,-0.186280,0
263,2273372417,-106.947716,-21.551737,30.015097,0.974815,0.628904,-0.398382,0
264,2273389084,-106.677032,-20.615379,29.886795,0.969521,0.609502,-0.005260,0
265,2273405751,-106.374153,-19.779310,29.772669,0.610813,0.419821,-0.115022,0
266,2273422418,-106.110909,-18.983814,29.670353,0.194783,-0.034642,-0.454065,0
267,2273439085,-105.890800,-18.203175,29.569860,0.272488,0.265770,-0.823252,0
268,2273455752,-105.649940,-17.488430,29.490637,0.596811,0.451443,-0.872213,0
269,2273472419,-105.365982,-16.910126,29.434340,1.081177,0.711397,-1.505224,0
270,2273489086,-105.187103,-16.440928,29.413916,0.561917,0.110554,-0.872207,0
271,2273505753,-104.935364,-15.935283,29.379587,-0.336695,-0.255851,-0.693916,0
272,2273522420,-104.710052,-15.335908,29.324961,0.057825,-0.037621,-1.226095,0
273,2273539087,-104.531509,-14.773940,29.250109,0.896761,0.652176,-1.484011,0
274,2273555754,-104.371033,-14.371847,29.222176,1.155258,0.562986,-1.710689,0
275,2273572421,-104.270447,-14.084095,29.236113,0.602206,0.266209,-1.761146,0
